rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,sentiment
5.0,Everyone needs one of these in their car!,"I needed this cord. I have 2 grandkids that bring electronics in the car and used to have to tske turns charging them. With this its no longer an issue. The plug itself has 2 usb ports, and the nice longer cord reaches to the backseat nicely and has 2 more ports. I wish I had this before. Definetly a great item to keep in each car.",[],B07SFZLLLQ,B07SFZLLLQ,AFFZVSTUS3U2ZD22A2NPZSKOCPGQ,1571073055653,0,False,4
5.0,Beautiful Phone Case,"This is a classy, good looking phone case. The case fits my daughter's  iPhone 6 nicely. It's a fairly firm plastic material, but it doesn't seem like it will snap into pieces or break easily. It does not interfere with any of the phone controls. My daughter has dropped her phone with this case on and her phone was completely protected. She really likes the grippy texture on the back of the case.<br /><br />*I received this phone case for free for the purpose of trying it out & reviewing. My thoughts & opinions are my own.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61joQBuh6DL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61joQBuh6DL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61joQBuh6DL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B013VPPJEM,B013VPPJEM,AHV6QCNBJNSGLATP56JAWJ3C4G2A,1455059866000,0,False,3
5.0,So Much Fun!!,"I work in a Special Ed middle school class. I took this Google Cardboard into class last week and those students absolutely loved it. First of all, it was easy to put together. My husband has purchased other Cardboards and the earlier models required more work to assemble. This one was super easy and I was able to do it all by myself. I downloaded a couple of VR apps from Google Play and let the students take turns with it. My favorite moment is when one of the autistic boys had his turn. He chose the Ocean VR one. After a moment of looking through it, he started singing &quot;Part of My World&quot; from Disney's The Little Mermaid. Many of the students in my class come from low income families. And none of them had ever used one of these before, let alone seen one. They were completely enthralled with it. After allowing all of the kids to take a turn, one of the velcro pieces was starting to come up, but that's an easy fix as far as I am concerned. And other than that, it held up very well. It's definitely a high quality, cardboard.  Another fun moment was when I shared it with the other classroom aid who is almost 60. She just as excited about it as the kids were! It is pretty amazing how far technology has progressed.<br /><br />*I received this for free for the purpose of trying it out &amp; reviewing. My thoughts &amp; opinions are my own.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71zLFnBMRnL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71zLFnBMRnL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71zLFnBMRnL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B01A8L8AP2,B01A8L8AP2,AHV6QCNBJNSGLATP56JAWJ3C4G2A,1454203115000,5,False,4
4.0,Better out there.,"Idk why the fingerprint reader is a metric since this case did not come with a screen protector<br /><br />Anyway. The case slips off all of the time. Its insanely easy to take off, it's not snug at all.<br /><br />Itll do as a temporary case until you find a better one.",[],B07Y2ZRNVP,B07Y31Q7BK,AF24UDV5GTGYDPK3G35ZFFQIUUKA,1580077009727,0,True,1
5.0,Love it,Perfect case great color and been great had it since Dec,[],B073WTQHTW,B073WTQHTW,AF4XAUOI5XPGWHCPOTORKBIJSRDA,1551252211991,0,True,4
5.0,Good Phone Protection,My husband just got a Pixel 6 and needed a phone case for it. This one has pretty good phone protection. I've seen him drop his phone at least once since he's gotten it and there has been no problems. The case fits fine and doesn't interfere with any of the buttons or controls.,[],B096WDXR9Z,B096T9C44S,AHV6QCNBJNSGLATP56JAWJ3C4G2A,1640626669642,0,False,3
5.0,Great case that's not bulky but sturdy,Easy to hold and great protection.,[],B09JF4HDPL,B09JFTFVF4,AEZUJSZ3B7OAOVCSMZPINNW3QH3A,1650388505059,0,True,4
4.0,Good,Always can use extras if these,[],B08T7XBVB6,B08T7XBVB6,AFFZVSTUS3U2ZD22A2NPZSKOCPGQ,1631331038532,0,False,3
5.0,Great phone holder,I use this holder on my desk for Zoom mtgs. Perfect size. Highly recommended.,[],B00WHYWC08,B08VHJH6Q2,AGBO5SEPWTF5NLYD33PFPGGVRUJQ,1619781891238,0,True,4
5.0,"Great portable battery charger, every home should own one",This is a great extended battery pack. Used it on a recent 3 week trip to Europe for times when I was away from my charger (and electricity). I love to use my phone almost exclusively for picture and video taking and the videos really ate away at my phone battery. I found this portable charger just what I needed to allow myself almost a full day of use without worrying about plugging in. Highly recommend this and I think everyone should own one.This will also come in handy in my house now that Florida is entering storm season and we frequently lose power. Having one of these handy will assure me of continuous phone (and internet) use for hours.,[],B07PFMJ3XG,B07PFMJ3XG,AFSKPY37N3C43SOI5IEXEK5JSIYA,1557086770170,0,False,4
5.0,Great idea,Wow have these made my life easier. Being able to  charge 2 items at once is so convenient,[],B076W1CN9Y,B076W1CN9Y,AEPQUIWJI7FYDURUJIDWLMPBU2KA,1575243748648,0,True,4
5.0,No Bubbles,"Great system for application.  It actually went on easy, straight and with NO BUBBLES.  JETech perfected this system.",[],B013DDMPXK,B0BQ2H896H,AHOEIYJJHZ7ITX75BOFQYNXVVJQQ,1643906617488,0,True,4
2.0,Looked nice at first,"I liked this case for about one day.  I put it oneand it looked nice on my phone.  The compartment for your cards held my debit card and id nicely and the case itself felt sturdy for the price.  But then it came time to charge my phone.  The charger would not fit in with out taking the case off.  This was the first annoying thing.  Then the next day I realized that the case was turning my volume down because my phone was on silent.  So after two days of owning the case, I sent it back.  It was not  for me.",[],B00ZKKPPMI,B00ZKKPPMI,AGKKAXZPXFYIBA3N53YNJYU2AT3Q,1460496360000,0,True,1
5.0,This is better than my Weather Tech one,This easily fits my cupholder and brings my phone in perfect alignment with my sight.  I appreciated  the seller reached out to make sure I received it and liked it.,[],B08KT21TB7,B0C7C641PN,AHFR2P34DFCGTJYFLV4PLYFVF6IA,1666051819628,1,True,4
5.0,Five Stars,Great,[],B013HPE8FM,B013HPE8FM,AGTSSHKA4HTPDZJOYOVWQ3E6TXCQ,1454265002000,0,True,4
5.0,Love It!,Works great. iPhone X fits perfectly in the case.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718ao2XtJIL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718ao2XtJIL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/718ao2XtJIL.jpg', 'attachment_type': 'IMAGE'}]",B07D2761T6,B07D26GDD7,AG2UEDPK43QC5AU6HZTCBANPW2FQ,1534979388056,4,True,4
